antecedents|consequents|antecedent support|consequent support|support|confidence|lift|representativity|leverage|conviction|zhangs_metric|jaccard|certainty|kulczynski|length
frozenset({'exerciseinducedangina=fal', 'chestpain=notang'})|frozenset({'class=buff'})|0.2508250825082508|0.5445544554455446|0.20462046204620463|0.8157894736842106|1.498086124401914|1.0|0.0680325458288403|2.4724186704384734|0.4437970726161716|0.3463687150837989|0.5955377574370712|0.5957735247208932|3
frozenset({'numberofvesselscolored=0', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.41914191419141916|0.5445544554455446|0.3234323432343234|0.7716535433070865|1.417036506800286|1.0|0.09518674639741195|1.9945373847729586|0.5066674397031538|0.5051546391752575|0.4986306059568637|0.6827964686232402|3
frozenset({'oldpeak_cat=L', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.3201320132013201|0.5445544554455446|0.2376237623762376|0.7422680412371134|1.363074039362699|1.0|0.06329444825670685|1.7671287128712871|0.39178802588996764|0.3789473684210526|0.4341102644554012|0.5893158388003749|3
frozenset({'slope=up', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.3333333333333333|0.5445544554455446|0.25412541254125415|0.7623762376237625|1.4000000000000001|1.0|0.07260726072607263|1.9166666666666674|0.42857142857142855|0.4074074074074075|0.47826086956521763|0.6145214521452146|3
frozenset({'thal=norm', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.40264026402640263|0.5445544554455446|0.31683168316831684|0.7868852459016393|1.4450074515648286|1.0|0.09757213345096885|2.137090632140137|0.5155386740331491|0.5026178010471205|0.5320741268709906|0.6843517138599106|3
frozenset({'exerciseinducedangina=fal', 'gender=fem'})|frozenset({'class=buff'})|0.24422442244224424|0.5445544554455446|0.21122112211221122|0.8648648648648648|1.588206388206388|1.0|0.07822762474267228|3.3702970297029684|0.4900382096069869|0.36571428571428566|0.7032902467685075|0.6263718263718263|3
frozenset({'exerciseinducedangina=fal', 'numberofvesselscolored=0'})|frozenset({'class=buff'})|0.43234323432343236|0.5445544554455446|0.3696369636963696|0.8549618320610686|1.5700208188757803|1.0|0.13420252916380743|3.140177175612295|0.6395867940199335|0.608695652173913|0.6815466312645201|0.7668748554244736|3
frozenset({'oldpeak_cat=L', 'exerciseinducedangina=fal'})|frozenset({'class=buff'})|0.3432343234323432|0.5445544554455446|0.27722772277227725|0.8076923076923078|1.4832167832167833|1.0|0.09031794268535767|2.3683168316831695|0.4960516870064609|0.45405405405405413|0.5777591973244149|0.6583916083916085|3
frozenset({'exerciseinducedangina=fal', 'restingbloodpres_cat=M'})|frozenset({'class=buff'})|0.4521452145214521|0.5445544554455446|0.33003300330033003|0.7299270072992701|1.340411413404114|1.0|0.08381531222429173|1.6863794487556862|0.4635542168674699|0.495049504950495|0.4070136464614408|0.667993806679938|3
frozenset({'restingecg=norm', 'exerciseinducedangina=fal'})|frozenset({'class=buff'})|0.35973597359735976|0.5445544554455446|0.28052805280528054|0.7798165137614679|1.4320266889074227|1.0|0.08463222559879749|2.068481848184818|0.4711946634323832|0.44973544973544965|0.5165536497806142|0.6474840144564915|3
frozenset({'slope=up', 'exerciseinducedangina=fal'})|frozenset({'class=buff'})|0.38283828382838286|0.5445544554455446|0.3102310231023102|0.8103448275862067|1.4880877742946705|1.0|0.10175472992843834|2.401440144014399|0.5314597792695412|0.5026737967914437|0.5835832083958017|0.6900208986415881|3
