antecedents|consequents|antecedent support|consequent support|support|confidence|lift|representativity|leverage|conviction|zhangs_metric|jaccard|certainty|kulczynski|length
frozenset({'chestpain=asympt', 'cholesteral_cat=M'})|frozenset({'class=sick'})|0.3234323432343234|0.45544554455445546|0.23102310231023102|0.7142857142857143|1.5683229813664596|1.0|0.08371728261935105|1.905940594059406|0.5356097560975609|0.42168674698795183|0.4753246753246753|0.6107660455486542|3
frozenset({'chestpain=asympt', 'exerciseinducedangina=TRUE'})|frozenset({'class=sick'})|0.264026402640264|0.45544554455445546|0.23102310231023102|0.875|1.921195652173913|1.0|0.11077345358298206|4.356435643564357|0.6515054452274184|0.4729729729729729|0.7704545454545454|0.6911231884057971|3
frozenset({'chestpain=asympt', 'gender=male'})|frozenset({'class=sick'})|0.3432343234323432|0.45544554455445546|0.2739273927392739|0.798076923076923|1.7522993311036787|1.0|0.11760284939385027|2.696841112682696|0.6536901374341587|0.5220125786163522|0.629195804195804|0.6997630992196209|3
frozenset({'chestpain=asympt', 'maxheartrate_cat=M'})|frozenset({'class=sick'})|0.30033003300330036|0.45544554455445546|0.21782178217821782|0.7252747252747253|1.5924510272336359|1.0|0.08103780675097211|1.9821782178217822|0.5317324185248712|0.40490797546012264|0.4955044955044954|0.6017677974199713|3
frozenset({'chestpain=asympt', 'restingbloodpres_cat=M'})|frozenset({'class=sick'})|0.3102310231023102|0.45544554455445546|0.22442244224422442|0.723404255319149|1.5883441258094357|1.0|0.08312910498970688|1.9687738004569693|0.5370109766394595|0.4146341463414635|0.49206963249516444|0.6080789392537773|3
frozenset({'chestpain=asympt', 'restingecg=hyp'})|frozenset({'class=sick'})|0.25742574257425743|0.45544554455445546|0.20132013201320131|0.782051282051282|1.71711259754738|1.0|0.08407672450413357|2.4985439720442635|0.5624043715846995|0.3935483870967742|0.5997668997668997|0.6120401337792643|3
frozenset({'chestpain=asympt', 'slope=flat'})|frozenset({'class=sick'})|0.27722772277227725|0.45544554455445546|0.22442244224422442|0.8095238095238094|1.7774327122153206|1.0|0.09816031108061299|2.8589108910891077|0.6051571313456888|0.4415584415584416|0.6502164502164499|0.6511387163561075|3
frozenset({'chestpain=asympt', 'thal=rev'})|frozenset({'class=sick'})|0.25742574257425743|0.45544554455445546|0.23432343234323433|0.9102564102564102|1.9986064659977703|1.0|0.11708002483416659|6.067892503536068|0.6728638497652583|0.48965517241379314|0.8351981351981351|0.7123745819397993|3
frozenset({'thal=rev', 'cholesteral_cat=M'})|frozenset({'class=sick'})|0.2838283828382838|0.45544554455445546|0.21122112211221122|0.7441860465116279|1.633973710819009|1.0|0.08195274973041858|2.128712871287129|0.5417626728110598|0.39999999999999997|0.5302325581395348|0.6039770812268285|3
frozenset({'exerciseinducedangina=TRUE', 'fastingbloodsugarlt120=fal'})|frozenset({'class=sick'})|0.2739273927392739|0.45544554455445546|0.20462046204620463|0.746987951807229|1.640125720272394|1.0|0.07986145149168383|2.1522866572371533|0.5375366568914955|0.38993710691823896|0.5353778751369114|0.5981316570630348|3
